,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore
4441,2023-07-05 04:00:00,1938.24,1942.0,1937.6,1941.94,4237.5166,2023-07-05 04:59:59.999,8223548.455991,8256.0,2106.394,4087694.555678,0.0
4442,2023-07-05 05:00:00,1941.94,1942.5,1938.82,1941.28,3745.2364,2023-07-05 05:59:59.999,7268406.30288,8586.0,1453.3853,2820477.540143,0.0
4443,2023-07-05 06:00:00,1941.28,1942.0,1936.18,1936.89,6633.0314,2023-07-05 06:59:59.999,12855488.000112,10661.0,3005.2321,5823687.645058,0.0
4444,2023-07-05 07:00:00,1936.89,1938.75,1932.15,1933.79,7854.474,2023-07-05 07:59:59.999,15201684.49874,10839.0,4523.1291,8754178.888847,0.0
4445,2023-07-05 08:00:00,1933.79,1937.44,1933.34,1937.31,6732.453,2023-07-05 08:59:59.999,13029201.008393,9955.0,3316.6998,6419422.547718,0.0
4446,2023-07-05 09:00:00,1937.31,1938.0,1935.41,1936.35,3592.6526,2023-07-05 09:59:59.999,6959495.108935,9180.0,1672.5903,3240048.935452,0.0
4447,2023-07-05 10:00:00,1936.36,1937.07,1916.01,1929.49,22502.4144,2023-07-05 10:59:59.999,43391818.252008,28204.0,9853.7279,19003207.625622,0.0
4448,2023-07-05 11:00:00,1929.48,1930.83,1921.35,1921.63,11807.7939,2023-07-05 11:59:59.999,22739616.591221,15559.0,4697.1781,9046700.257246,0.0
4449,2023-07-05 12:00:00,1921.63,1925.56,1905.0,1910.19,37961.3745,2023-07-05 12:59:59.999,72638973.951176,40502.0,17519.7282,33525890.184104,0.0
4450,2023-07-05 13:00:00,1910.2,1917.98,1907.41,1910.08,16771.2727,2023-07-05 13:59:59.999,32076548.481872,19571.0,9019.8553,17249345.061752,0.0
4451,2023-07-05 14:00:00,1910.07,1913.92,1897.64,1901.39,25408.3799,2023-07-05 14:59:59.999,48467057.116297,29967.0,10572.737,20170813.946101,0.0
4452,2023-07-05 15:00:00,1901.38,1905.95,1894.51,1903.15,22820.0069,2023-07-05 15:59:59.999,43382162.306264,25832.0,10620.3976,20189162.359395,0.0
4453,2023-07-05 16:00:00,1903.14,1911.76,1902.16,1911.0,13081.0822,2023-07-05 16:59:59.999,24952828.240652,17889.0,7351.9742,14022441.334862,0.0
4454,2023-07-05 17:00:00,1911.0,1911.46,1895.0,1902.96,18156.9761,2023-07-05 17:59:59.999,34554931.209959,22883.0,7852.5559,14942293.621355,0.0
4455,2023-07-05 18:00:00,1902.97,1910.21,1901.26,1908.7,8739.5984,2023-07-05 18:59:59.999,16659333.885831,13330.0,4661.826,8886458.216243,0.0
4456,2023-07-05 19:00:00,1908.69,1916.47,1908.0,1912.21,8566.7001,2023-07-05 19:59:59.999,16384152.422643,12509.0,4708.1268,9004519.48576,0.0
4457,2023-07-05 20:00:00,1912.22,1918.0,1906.9,1910.09,9348.7865,2023-07-05 20:59:59.999,17872017.834779,11761.0,5026.5921,9607851.774192,0.0
4458,2023-07-05 21:00:00,1910.09,1913.21,1907.2,1907.71,5773.3063,2023-07-05 21:59:59.999,11026589.198422,8778.0,2962.965,5659172.609858,0.0
4459,2023-07-05 22:00:00,1907.71,1911.43,1904.03,1910.22,5823.0646,2023-07-05 22:59:59.999,11114508.500987,9262.0,3091.0675,5900090.892639,0.0
4460,2023-07-05 23:00:00,1910.23,1913.47,1908.51,1911.06,4864.4079,2023-07-05 23:59:59.999,9295657.247692,8934.0,2594.9559,4959141.687392,0.0
4461,2023-07-06 00:00:00,1911.07,1915.59,1906.94,1908.79,6256.4779,2023-07-06 00:59:59.999,11955810.16951,10028.0,3159.9126,6038336.176123,0.0
4462,2023-07-06 01:00:00,1908.79,1915.58,1906.66,1910.36,5538.2298,2023-07-06 01:59:59.999,10587275.509566,9358.0,2779.5926,5314290.609464,0.0
4463,2023-07-06 02:00:00,1910.35,1912.85,1902.24,1904.49,7551.8233,2023-07-06 02:59:59.999,14404892.131458,11946.0,3741.5917,7137321.73668,0.0
4464,2023-07-06 03:00:00,1904.5,1908.32,1898.8,1908.26,9210.8918,2023-07-06 03:59:59.999,17532211.674697,13567.0,4815.4166,9166356.240056,0.0
4465,2023-07-06 04:00:00,1908.25,1915.63,1908.25,1911.24,10867.1189,2023-07-06 04:59:59.999,20777152.253146,12919.0,6668.3922,12748114.390908,0.0
4466,2023-07-06 05:00:00,1911.25,1915.0,1911.24,1913.51,4895.275,2023-07-06 05:59:59.999,9366770.115156,7840.0,2931.6686,5609231.334495,0.0
4467,2023-07-06 06:00:00,1913.5,1916.3,1910.07,1911.0,5713.8385,2023-07-06 06:59:59.999,10933986.227653,9337.0,2845.3554,5444857.392398,0.0
4468,2023-07-06 07:00:00,1911.0,1924.27,1909.51,1921.78,12757.358,2023-07-06 07:59:59.999,24468308.500859,15359.0,6756.8872,12959015.662676,0.0
4469,2023-07-06 08:00:00,1921.79,1927.0,1919.78,1923.44,10612.8461,2023-07-06 08:59:59.999,20407608.369643,14538.0,4946.1566,9512329.576594,0.0
4470,2023-07-06 09:00:00,1923.43,1930.0,1923.11,1925.08,11406.5078,2023-07-06 09:59:59.999,21966326.606778,15278.0,6235.3159,12008411.452061,0.0
4471,2023-07-06 10:00:00,1925.09,1950.59,1924.57,1949.07,29275.9679,2023-07-06 10:59:59.999,56756118.776026,31346.0,14608.7833,28321275.731602,0.0
4472,2023-07-06 11:00:00,1949.06,1958.0,1938.0,1940.99,34890.504,2023-07-06 11:59:59.999,68052842.580462,37771.0,18168.282,35446764.000627,0.0
4473,2023-07-06 12:00:00,1941.0,1945.19,1937.59,1943.92,12777.2625,2023-07-06 12:59:59.999,24801055.55231,14781.0,5314.4615,10317306.87673,0.0
4474,2023-07-06 13:00:00,1943.92,1944.72,1910.39,1917.65,30033.0924,2023-07-06 13:59:59.999,57811604.108006,31676.0,12883.3164,24783135.021183,0.0
4475,2023-07-06 14:00:00,1917.66,1919.37,1890.34,1901.1,56710.2387,2023-07-06 14:59:59.999,107966504.316006,50615.0,26802.8988,51035393.983894,0.0
4476,2023-07-06 15:00:00,1901.09,1907.24,1887.0,1892.61,25363.3058,2023-07-06 15:59:59.999,48161622.565475,27499.0,11713.694,22245991.175416,0.0
4477,2023-07-06 16:00:00,1892.62,1897.1,1865.08,1880.17,61585.6964,2023-07-06 16:59:59.999,115665245.125888,59991.0,30424.3342,57148081.030955,0.0
4478,2023-07-06 17:00:00,1880.18,1892.5,1873.58,1888.67,25368.7555,2023-07-06 17:59:59.999,47769029.401906,27619.0,12991.7838,24466806.685913,0.0
4479,2023-07-06 18:00:00,1888.66,1890.06,1878.4,1886.62,18545.1187,2023-07-06 18:59:59.999,34948288.940169,21107.0,10263.3997,19343145.03998,0.0
4480,2023-07-06 19:00:00,1886.61,1889.41,1882.89,1887.25,4972.7102,2023-07-06 19:59:59.999,9376606.029798,9750.0,2725.8979,5139799.064675,0.0
4481,2023-07-06 20:00:00,1887.25,1894.24,1885.0,1893.5,8458.7857,2023-07-06 20:59:59.999,15976427.611214,12818.0,4771.3278,9011632.609866,0.0
4482,2023-07-06 21:00:00,1893.49,1893.5,1884.34,1885.21,7832.984,2023-07-06 21:59:59.999,14787998.515919,11318.0,3216.4615,6072143.035112,0.0
4483,2023-07-06 22:00:00,1885.21,1887.64,1880.0,1883.41,11273.3443,2023-07-06 22:59:59.999,21225777.888184,12484.0,5455.1016,10270681.143807,0.0
4484,2023-07-06 23:00:00,1883.4,1886.93,1871.92,1876.04,10955.2817,2023-07-06 23:59:59.999,20579043.398377,13929.0,5488.1725,10304542.40871,0.0
4485,2023-07-07 00:00:00,1876.04,1876.4,1863.14,1868.6,12849.7281,2023-07-07 00:59:59.999,24040154.007291,16737.0,6599.9224,12349529.292383,0.0
4486,2023-07-07 01:00:00,1868.61,1868.61,1846.0,1846.17,32454.3057,2023-07-07 01:59:59.999,60234011.526849,38806.0,15190.5604,28201436.117822,0.0
4487,2023-07-07 02:00:00,1846.17,1849.61,1826.0,1845.32,42460.1618,2023-07-07 02:59:59.999,78052287.277748,52593.0,20326.3295,37366837.085532,0.0
4488,2023-07-07 03:00:00,1845.32,1853.26,1842.8,1851.87,12719.8666,2023-07-07 03:59:59.999,23504640.85941,19562.0,5797.1712,10711728.284999,0.0
4489,2023-07-07 04:00:00,1851.87,1855.06,1850.08,1853.73,8396.8343,2023-07-07 04:59:59.999,15552430.753913,13529.0,3391.3536,6281454.796544,0.0
4490,2023-07-07 05:00:00,1853.72,1859.89,1853.5,1858.02,8167.8281,2023-07-07 05:59:59.999,15166192.889446,12678.0,4383.262,8138128.071034,0.0
4491,2023-07-07 06:00:00,1858.03,1858.86,1852.94,1854.4,6335.8206,2023-07-07 06:59:59.999,11755009.219843,10735.0,3148.7772,5842475.856974,0.0
4492,2023-07-07 07:00:00,1854.41,1863.33,1851.56,1858.0,9252.4127,2023-07-07 07:59:59.999,17196859.488711,17103.0,4627.7456,8602899.398514,0.0
4493,2023-07-07 08:00:00,1858.0,1859.18,1853.44,1855.3,6616.9939,2023-07-07 08:59:59.999,12283048.207817,12301.0,3187.8773,5917697.420778,0.0
4494,2023-07-07 09:00:00,1855.3,1858.91,1852.2,1856.4,10484.8077,2023-07-07 09:59:59.999,19456679.104043,14823.0,6591.4537,12232042.986703,0.0
4495,2023-07-07 10:00:00,1856.41,1861.94,1853.81,1856.0,6989.3299,2023-07-07 10:59:59.999,12988719.686282,12396.0,3292.4656,6118731.286161,0.0
4496,2023-07-07 11:00:00,1856.01,1865.6,1856.0,1860.99,11110.6208,2023-07-07 11:59:59.999,20684843.062889,14300.0,5168.2828,9620931.131047,0.0
4497,2023-07-07 12:00:00,1860.99,1863.86,1858.86,1863.74,4602.204,2023-07-07 12:59:59.999,8566233.035473,10004.0,2450.8968,4561773.945652,0.0
4498,2023-07-07 13:00:00,1863.75,1864.69,1860.04,1860.17,4288.2493,2023-07-07 13:59:59.999,7987853.951655,10505.0,1933.5303,3601670.09665,0.0
4499,2023-07-07 14:00:00,1860.16,1873.31,1851.43,1862.89,23416.1134,2023-07-07 14:59:59.999,43611489.811166,30507.0,11530.2092,21470586.794066,0.0
4500,2023-07-07 15:00:00,1862.9,1874.41,1860.24,1873.23,12930.8899,2023-07-07 15:59:59.999,24152714.598794,18313.0,6901.6176,12892671.40493,0.0
4501,2023-07-07 16:00:00,1873.22,1878.0,1866.5,1874.62,13500.0457,2023-07-07 16:59:59.999,25275401.93076,19459.0,7411.2979,13876790.317053,0.0
4502,2023-07-07 17:00:00,1874.62,1875.3,1868.07,1872.03,7308.4009,2023-07-07 17:59:59.999,13676402.903596,13030.0,3191.7333,5972475.24947,0.0
4503,2023-07-07 18:00:00,1872.04,1875.27,1869.26,1872.64,5425.219,2023-07-07 18:59:59.999,10155644.12209,11124.0,2601.2813,4869736.084872,0.0
4504,2023-07-07 19:00:00,1872.64,1873.5,1864.03,1867.35,8331.7775,2023-07-07 19:59:59.999,15569858.733684,12025.0,3597.6348,6724623.531902,0.0
4505,2023-07-07 20:00:00,1867.36,1868.08,1856.29,1860.09,7068.0568,2023-07-07 20:59:59.999,13167530.897025,11881.0,3352.0734,6245296.038392,0.0
4506,2023-07-07 21:00:00,1860.08,1864.32,1857.58,1864.31,5550.506,2023-07-07 21:59:59.999,10330653.220467,9196.0,2511.7563,4675197.447334,0.0
4507,2023-07-07 22:00:00,1864.3,1866.84,1863.02,1865.6,4136.8249,2023-07-07 22:59:59.999,7713357.749643,7311.0,2105.7052,3926074.209735,0.0
4508,2023-07-07 23:00:00,1865.61,1871.83,1865.6,1868.62,7278.2025,2023-07-07 23:59:59.999,13602682.239074,9138.0,4159.9948,7772794.173187,0.0
4509,2023-07-08 00:00:00,1868.62,1870.94,1865.99,1867.83,4429.4577,2023-07-08 00:59:59.999,8275864.688217,7020.0,2052.6349,3834817.486169,0.0
4510,2023-07-08 01:00:00,1867.82,1870.92,1867.53,1870.91,2143.7226,2023-07-08 01:59:59.999,4006982.623221,5727.0,1428.003,2669221.108057,0.0
