,OpenTime,TRX-USD_Open,TRX-USD_High,TRX-USD_Low,TRX-USD_Close,TRX-USD_volume,CloseTime,TRX-QuoteAssetVolume,TRX-NumberOfTrades,TRX-TBBAV,TRX-TBQAV,TRX-ignore
144,2022-05-25 02:00:00,0.08064,0.08836,0.07981,0.0847,1645020316.9,2022-05-26 01:59:59.999,136272182.501533,319419.0,852400880.5,70650386.742826,0.0
145,2022-05-26 02:00:00,0.0847,0.08656,0.07881,0.08223,2965533838.9,2022-05-27 01:59:59.999,245607591.120249,507456.0,1421787828.1,117795568.824333,0.0
146,2022-05-27 02:00:00,0.08224,0.08402,0.07835,0.08083,2092463683.8,2022-05-28 01:59:59.999,168891737.73741,368246.0,1023994468.3,82671754.532805,0.0
147,2022-05-28 02:00:00,0.08083,0.08273,0.07899,0.08118,915885334.4,2022-05-29 01:59:59.999,74226144.595497,191423.0,461923379.4,37443644.373099,0.0
148,2022-05-29 02:00:00,0.08117,0.08233,0.07813,0.08055,836187351.9,2022-05-30 01:59:59.999,67403911.607915,175248.0,419365445.7,33818451.213118,0.0
149,2022-05-30 02:00:00,0.08054,0.0844,0.08016,0.08325,1214901677.1,2022-05-31 01:59:59.999,100506045.401129,227408.0,651371846.2,53900730.564691,0.0
150,2022-05-31 02:00:00,0.08324,0.08453,0.07933,0.08441,1489663603.0,2022-06-01 01:59:59.999,121109687.354579,252868.0,771189213.4,62698191.700686,0.0
151,2022-06-01 02:00:00,0.08441,0.09222,0.08209,0.08356,3151794233.7,2022-06-02 01:59:59.999,274793907.900782,589620.0,1635422231.5,142706957.784321,0.0
152,2022-06-02 02:00:00,0.08356,0.0857,0.0811,0.08432,1529250436.3,2022-06-03 01:59:59.999,127351665.77864,278971.0,752802248.2,62748805.073086,0.0
153,2022-06-03 02:00:00,0.08432,0.08645,0.08034,0.0811,1149189440.4,2022-06-04 01:59:59.999,95049868.382263,215376.0,553926647.4,45845363.192632,0.0
154,2022-06-04 02:00:00,0.08112,0.08134,0.07627,0.08043,1476276604.6,2022-06-05 01:59:59.999,116665192.95391,237480.0,766924085.9,60617187.373639,0.0
155,2022-06-05 02:00:00,0.08043,0.08265,0.07918,0.08151,674949351.8,2022-06-06 01:59:59.999,54657390.951808,124692.0,348726422.3,28240962.003096,0.0
156,2022-06-06 02:00:00,0.08151,0.08486,0.08109,0.08161,903182552.7,2022-06-07 01:59:59.999,74972936.400609,187709.0,466099275.1,38711574.593389,0.0
157,2022-06-07 02:00:00,0.0816,0.08311,0.07887,0.08186,1122439214.3,2022-06-08 01:59:59.999,90812528.27835,195533.0,578820143.3,46841458.700519,0.0
158,2022-06-08 02:00:00,0.08186,0.08266,0.07958,0.08062,822334791.2,2022-06-09 01:59:59.999,66493809.044366,152765.0,413905617.7,33469303.548797,0.0
159,2022-06-09 02:00:00,0.08062,0.08196,0.08006,0.08102,572935739.9,2022-06-10 01:59:59.999,46448037.412142,103855.0,299346825.9,24270279.637601,0.0
160,2022-06-10 02:00:00,0.08101,0.08161,0.07883,0.07893,806983631.2,2022-06-11 01:59:59.999,64757372.610213,131924.0,413228746.5,33169853.442204,0.0
161,2022-06-11 02:00:00,0.07893,0.08035,0.07469,0.0762,1042816900.9,2022-06-12 01:59:59.999,80766325.71453,179081.0,525277381.6,40707223.177129,0.0
162,2022-06-12 02:00:00,0.07621,0.07885,0.07411,0.07618,1553234434.2,2022-06-13 01:59:59.999,118723111.57638,231867.0,831170309.0,63568022.216302,0.0
163,2022-06-13 02:00:00,0.07617,0.07674,0.0606,0.06387,5877608440.4,2022-06-14 01:59:59.999,384325362.804872,808858.0,2921041487.6,191014588.808209,0.0
164,2022-06-14 02:00:00,0.06386,0.06488,0.05223,0.05559,5413746170.8,2022-06-15 01:59:59.999,315920450.274817,746931.0,2596277255.5,151545636.81059,0.0
165,2022-06-15 02:00:00,0.0556,0.064,0.04664,0.06302,8499088551.4,2022-06-16 01:59:59.999,461706798.562386,1189317.0,4373872914.2,237795635.247807,0.0
166,2022-06-16 02:00:00,0.06302,0.06577,0.0583,0.05923,2764331231.6,2022-06-17 01:59:59.999,169162516.845473,376836.0,1339447650.5,82047747.620901,0.0
167,2022-06-17 02:00:00,0.05924,0.06333,0.05869,0.05989,1779763012.8,2022-06-18 01:59:59.999,107808246.03141,242786.0,922939625.6,55929109.516016,0.0
168,2022-06-18 02:00:00,0.0599,0.06386,0.05707,0.06089,2550576099.0,2022-06-19 01:59:59.999,153497013.592228,365272.0,1324728940.7,79768272.737146,0.0
169,2022-06-19 02:00:00,0.06088,0.06298,0.05851,0.06132,1926957261.5,2022-06-20 01:59:59.999,117137523.078777,296850.0,989083520.1,60169245.813262,0.0
170,2022-06-20 02:00:00,0.06132,0.0622,0.05946,0.06115,1159427437.7,2022-06-21 01:59:59.999,70468133.231685,184454.0,601578578.9,36581525.141843,0.0
171,2022-06-21 02:00:00,0.06114,0.06686,0.06096,0.0649,1389203721.2,2022-06-22 01:59:59.999,89156229.069987,271858.0,749318078.5,48099750.476319,0.0
172,2022-06-22 02:00:00,0.06492,0.06581,0.06298,0.0631,866297508.1,2022-06-23 01:59:59.999,55692873.245041,151494.0,416674995.8,26806419.997005,0.0
173,2022-06-23 02:00:00,0.0631,0.06464,0.06181,0.0638,753541050.1,2022-06-24 01:59:59.999,47757217.884739,152683.0,394386926.7,25003796.23284,0.0
174,2022-06-24 02:00:00,0.06379,0.06673,0.06359,0.06584,807600205.1,2022-06-25 01:59:59.999,52557716.767375,166412.0,432061748.0,28122141.681319,0.0
175,2022-06-25 02:00:00,0.06585,0.06634,0.06362,0.0648,511708770.7,2022-06-26 01:59:59.999,33269284.849402,118424.0,267445519.4,17390572.83208,0.0
176,2022-06-26 02:00:00,0.0648,0.06589,0.06402,0.06504,521220595.7,2022-06-27 01:59:59.999,33858079.939805,110291.0,271654281.3,17647845.67075,0.0
177,2022-06-27 02:00:00,0.06503,0.07046,0.0649,0.06703,1274750340.0,2022-06-28 01:59:59.999,86909969.111687,234579.0,653777761.4,44576865.17073,0.0
178,2022-06-28 02:00:00,0.06703,0.06833,0.06518,0.06591,1165858010.9,2022-06-29 01:59:59.999,77994221.008529,195258.0,526649980.7,35245322.275887,0.0
179,2022-06-29 02:00:00,0.06591,0.06663,0.06407,0.06492,753763109.1,2022-06-30 01:59:59.999,49238255.477781,132498.0,366427995.2,23944318.800077,0.0
180,2022-06-30 02:00:00,0.06492,0.06598,0.06192,0.06481,1017188583.2,2022-07-01 01:59:59.999,64881618.880662,156491.0,507053538.0,32352283.259152,0.0
181,2022-07-01 02:00:00,0.06481,0.06675,0.06415,0.06512,975193971.1,2022-07-02 01:59:59.999,63558550.663187,162677.0,490432999.7,31975490.106106,0.0
182,2022-07-02 02:00:00,0.06511,0.06549,0.06433,0.06475,414634750.8,2022-07-03 01:59:59.999,26945489.553747,86764.0,212335867.6,13802922.561662,0.0
183,2022-07-03 02:00:00,0.06475,0.06646,0.0625,0.06628,693832099.7,2022-07-04 01:59:59.999,44558650.554759,128135.0,344639937.0,22160369.746829,0.0
