,OpenTime,MATIC-USD_Open,MATIC-USD_High,MATIC-USD_Low,MATIC-USD_Close,MATIC-USD_volume,CloseTime,MATIC-QuoteAssetVolume,MATIC-NumberOfTrades,MATIC-TBBAV,MATIC-TBQAV,MATIC-ignore
63,2022-03-05 01:00:00,1.477,1.516,1.448,1.508,41939605.6,2022-03-06 00:59:59.999,62302818.6671,107629.0,20423138.4,30357882.1104,0.0
64,2022-03-06 01:00:00,1.508,1.519,1.431,1.435,44816887.7,2022-03-07 00:59:59.999,66014445.713,113735.0,21649809.1,31905686.2409,0.0
65,2022-03-07 01:00:00,1.435,1.496,1.369,1.411,85656899.3,2022-03-08 00:59:59.999,122316853.0312,205694.0,43269000.9,61809961.9177,0.0
66,2022-03-08 01:00:00,1.41,1.475,1.403,1.447,67592015.3,2022-03-09 00:59:59.999,97801065.1481,161319.0,34460313.4,49872045.4073,0.0
67,2022-03-09 01:00:00,1.446,1.545,1.444,1.505,76279564.0,2022-03-10 00:59:59.999,115180647.1103,187631.0,39031978.7,58938645.5456,0.0
68,2022-03-10 01:00:00,1.505,1.511,1.4,1.437,76047008.1,2022-03-11 00:59:59.999,109256272.6365,192962.0,37998259.8,54590155.0537,0.0
69,2022-03-11 01:00:00,1.436,1.473,1.403,1.404,64984054.5,2022-03-12 00:59:59.999,93035431.9854,145362.0,32752266.7,46899663.5643,0.0
70,2022-03-12 01:00:00,1.405,1.435,1.394,1.396,33504349.3,2022-03-13 00:59:59.999,47381803.6254,76970.0,16761917.3,23704154.4305,0.0
71,2022-03-13 01:00:00,1.397,1.421,1.352,1.36,30337041.0,2022-03-14 00:59:59.999,42303197.6572,84571.0,14581580.7,20342829.5022,0.0
72,2022-03-14 01:00:00,1.361,1.394,1.329,1.379,52468420.4,2022-03-15 00:59:59.999,71481919.3487,134769.0,25841537.7,35217559.8024,0.0
73,2022-03-15 01:00:00,1.379,1.41,1.33,1.378,40716252.8,2022-03-16 00:59:59.999,55685294.7183,114810.0,20524736.3,28085705.5146,0.0
74,2022-03-16 01:00:00,1.378,1.471,1.355,1.467,68598098.2,2022-03-17 00:59:59.999,96302335.8127,180772.0,34995277.7,49172919.0434,0.0
75,2022-03-17 01:00:00,1.468,1.499,1.437,1.446,47442509.1,2022-03-18 00:59:59.999,69308064.0111,125926.0,22978262.2,33574338.9411,0.0
76,2022-03-18 01:00:00,1.447,1.51,1.417,1.497,47850822.3,2022-03-19 00:59:59.999,69551652.9262,133593.0,23992567.8,34923672.1862,0.0
77,2022-03-19 01:00:00,1.497,1.542,1.497,1.529,39958797.6,2022-03-20 00:59:59.999,60761493.6104,129563.0,19559164.8,29753894.7684,0.0
78,2022-03-20 01:00:00,1.53,1.537,1.458,1.465,30710783.6,2022-03-21 00:59:59.999,45773851.0884,97352.0,14309205.8,21337889.0828,0.0
79,2022-03-21 01:00:00,1.466,1.498,1.442,1.465,39193447.1,2022-03-22 00:59:59.999,57580052.0502,103702.0,19136385.8,28125026.5174,0.0
80,2022-03-22 01:00:00,1.465,1.534,1.458,1.506,49106145.2,2022-03-23 00:59:59.999,73992373.5187,131261.0,25012345.8,37689848.7995,0.0
81,2022-03-23 01:00:00,1.507,1.559,1.492,1.556,44521965.5,2022-03-24 00:59:59.999,67874143.6481,138352.0,23088345.6,35221779.5133,0.0
82,2022-03-24 01:00:00,1.556,1.637,1.544,1.629,63085734.6,2022-03-25 00:59:59.999,100684756.3115,210920.0,32407739.8,51710625.1573,0.0
83,2022-03-25 01:00:00,1.63,1.664,1.563,1.578,56585178.3,2022-03-26 00:59:59.999,91717943.6236,191719.0,27091351.6,43953177.7021,0.0
84,2022-03-26 01:00:00,1.579,1.616,1.567,1.611,22458476.1,2022-03-27 00:59:59.999,35767475.4433,72648.0,11620084.5,18515647.1838,0.0
85,2022-03-27 01:00:00,1.612,1.695,1.602,1.695,38088458.8,2022-03-28 01:59:59.999,62647759.3517,147266.0,20267535.6,33351835.6869,0.0
86,2022-03-28 02:00:00,1.695,1.745,1.649,1.657,60874912.8,2022-03-29 01:59:59.999,103893773.1644,249355.0,33116052.0,56523945.4994,0.0
87,2022-03-29 02:00:00,1.657,1.737,1.634,1.675,55407333.3,2022-03-30 01:59:59.999,93975549.7553,191342.0,26260634.6,44546767.2415,0.0
88,2022-03-30 02:00:00,1.675,1.727,1.627,1.682,59119929.3,2022-03-31 01:59:59.999,99503275.1437,194421.0,30433149.7,51259633.8045,0.0
89,2022-03-31 02:00:00,1.682,1.75,1.608,1.618,70232470.8,2022-04-01 01:59:59.999,118169847.2491,245390.0,35166162.7,59218583.6755,0.0
90,2022-04-01 02:00:00,1.617,1.712,1.559,1.695,63365270.9,2022-04-02 01:59:59.999,104102060.0079,207367.0,33223705.9,54599644.8833,0.0
91,2022-04-02 02:00:00,1.695,1.729,1.646,1.653,55583003.2,2022-04-03 01:59:59.999,94277846.0615,181492.0,26378320.2,44735649.1795,0.0
92,2022-04-03 02:00:00,1.653,1.713,1.632,1.688,36786552.8,2022-04-04 01:59:59.999,61728276.6938,136241.0,18745211.2,31462646.7194,0.0
93,2022-04-04 02:00:00,1.687,1.689,1.606,1.648,43208078.2,2022-04-05 01:59:59.999,71340229.3073,148960.0,20988650.0,34662747.2375,0.0
94,2022-04-05 02:00:00,1.647,1.676,1.587,1.592,37581796.0,2022-04-06 01:59:59.999,61227667.9351,126787.0,18328592.6,29879985.6325,0.0
95,2022-04-06 02:00:00,1.593,1.593,1.453,1.457,70018240.2,2022-04-07 01:59:59.999,107004048.0287,230473.0,34476855.1,52687318.1648,0.0
96,2022-04-07 02:00:00,1.458,1.52,1.437,1.511,46712069.4,2022-04-08 01:59:59.999,69178264.052,135766.0,22718103.6,33635434.3504,0.0
97,2022-04-08 02:00:00,1.511,1.527,1.423,1.434,41686592.7,2022-04-09 01:59:59.999,62065759.7553,120355.0,19586018.0,29169668.1634,0.0
98,2022-04-09 02:00:00,1.434,1.468,1.426,1.463,21720943.1,2022-04-10 01:59:59.999,31467937.4368,64074.0,11646692.1,16879440.6185,0.0
99,2022-04-10 02:00:00,1.463,1.49,1.419,1.427,19402659.4,2022-04-11 01:59:59.999,28313425.1674,69332.0,9456536.1,13809188.7944,0.0
100,2022-04-11 02:00:00,1.427,1.44,1.313,1.334,51505755.2,2022-04-12 01:59:59.999,70694203.2178,154234.0,25261624.4,34667261.8607,0.0
101,2022-04-12 02:00:00,1.334,1.475,1.326,1.394,64754216.8,2022-04-13 01:59:59.999,90793144.1795,181824.0,32571390.0,45643736.0475,0.0
102,2022-04-13 02:00:00,1.394,1.438,1.365,1.42,42580666.7,2022-04-14 01:59:59.999,60077054.3713,120024.0,21866097.1,30856860.5644,0.0
103,2022-04-14 02:00:00,1.42,1.444,1.352,1.374,36971813.3,2022-04-15 01:59:59.999,51521315.921,101742.0,18106356.8,25248682.071,0.0
104,2022-04-15 02:00:00,1.374,1.399,1.366,1.398,20365967.4,2022-04-16 01:59:59.999,28239956.3968,61179.0,10640599.1,14756680.2167,0.0
105,2022-04-16 02:00:00,1.398,1.403,1.365,1.388,15800872.8,2022-04-17 01:59:59.999,21902116.6498,50852.0,7982522.3,11065872.63,0.0
106,2022-04-17 02:00:00,1.388,1.39,1.332,1.337,20188054.4,2022-04-18 01:59:59.999,27665464.0913,61509.0,9964590.8,13657668.2399,0.0
107,2022-04-18 02:00:00,1.336,1.426,1.293,1.418,62938926.6,2022-04-19 01:59:59.999,85279697.0123,164800.0,31789870.7,43137529.3567,0.0
108,2022-04-19 02:00:00,1.418,1.45,1.393,1.427,45777866.8,2022-04-20 01:59:59.999,65011396.4748,125666.0,22990043.1,32652819.3544,0.0
109,2022-04-20 02:00:00,1.427,1.466,1.396,1.417,50063787.8,2022-04-21 01:59:59.999,71783547.7646,128363.0,24522066.9,35172108.3712,0.0
110,2022-04-21 02:00:00,1.417,1.468,1.358,1.378,52021660.2,2022-04-22 01:59:59.999,74154515.1651,138974.0,25938164.0,36971892.2815,0.0
111,2022-04-22 02:00:00,1.377,1.506,1.371,1.398,130745946.0,2022-04-23 01:59:59.999,189115931.4101,304808.0,64788934.0,93768279.7303,0.0
112,2022-04-23 02:00:00,1.397,1.412,1.343,1.362,42684882.1,2022-04-24 01:59:59.999,58770038.4596,107764.0,19370012.6,26681677.705,0.0
